Category,Sub-Category,Product Name,Sales,Profit,Quantity,Discount,Profit Margin,Sales Share,Sales Rank,Profit Rank,Product Type
Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",400.02,-113.26,3,0.51,-0.283135843,0.000174172,844,1738,Problem Product
Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.71,780.32,35,0.18375,0.103494697,0.003282858,53,96,Problem Product
Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.1,-126.43,27,0.266666667,-0.024388033,0.002257204,104,1748,Problem Product
Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.89,15.05,26,0.31625,0.002739906,0.002391654,95,1308,Problem Product
Furniture,Bookcases,Bestar Classic Bookcase,1897.81,-612.93,31,0.315,-0.322966999,0.000826324,321,1837,Problem Product
Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.72,135.59,34,0.166666667,0.040868428,0.001444566,187,476,Problem Product
Furniture,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",825.17,-117.88,9,0.3,-0.142855412,0.000359287,577,1742,Problem Product
Furniture,Bookcases,"Bush Cubix Collection Bookcases, Fully Assembled",729.23,48.62,4,0.233333333,0.066673066,0.000317513,612,891,Problem Product
Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.02,-208.64,34,0.23375,-0.057539672,0.001578802,169,1778,Problem Product
Furniture,Bookcases,Bush Mission Pointe Library,748.86,24.15,6,0.173333333,0.032249019,0.00032606,606,1158,Problem Product
Furniture,Bookcases,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.83,-12.69,1,0.15,-0.105900025,5.22E-05,1310,1636,Problem Product
Furniture,Bookcases,Bush Somerset Collection Bookcase,1263.96,-56.33,12,0.2125,-0.044566284,0.00055034,446,1704,Problem Product
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",649.38,-97.4,14,0.233333333,-0.14998922,0.000282746,649,1730,Problem Product
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",90.88,-190.85,3,0.7,-2.100022007,3.96E-05,1426.5,1772,Problem Product
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",1473.3,73.73,18,0.195,0.050044119,0.000641488,388,702,Problem Product
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",1426.88,-20.29,32,0.23,-0.014219836,0.000621277,401,1658,Problem Product
Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,11046.6,90.17,27,0.183333333,0.008162693,0.00480979,24,632,Problem Product
Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84,206.87,8,0,0.059999884,0.001501221,179,365,Problem Product
Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,1474.31,-191.85,22,0.25,-0.13012867,0.000641928,387,1773,Problem Product
Furniture,Bookcases,"Hon Metal Bookcases, Black",1570.08,-26.96,30,0.244,-0.0171711,0.000683627,377,1672,Problem Product
Furniture,Bookcases,"Hon Metal Bookcases, Gray",851.76,229.97,12,0,0.269993895,0.000370864,567,343,Problem Product
Furniture,Bookcases,"Hon Metal Bookcases, Putty",1320.23,362.72,19,0.04,0.274740007,0.00057484,430,237,Problem Product
Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4886.47,566.48,31,0.15,0.115928267,0.002127614,111,142,Problem Product
Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,723.85,-133.11,21,0.183333333,-0.18389169,0.000315171,614,1754,Problem Product
Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,1119.2,147.09,22,0.17,0.131424232,0.00048731,479,457,Problem Product
Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,2740.2,-975.12,37,0.421428571,-0.355857237,0.001193108,230,1850,Problem Product
Furniture,Bookcases,O'Sullivan 5-Shelf Heavy-Duty Bookcases,540.8,-12.29,9,0.175,-0.022725592,0.000235469,713,1633,Problem Product
Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,1072.34,-78.36,9,0.15,-0.073073839,0.000466907,502,1722,Problem Product
Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Bookcase,424.9,27.2,6,0.1,0.064015062,0.000185005,824,1122,Problem Product
Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",1912.31,-68.11,18,0.2,-0.03561661,0.000832637,318,1711,Problem Product
Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,2970.07,-78.64,28,0.11,-0.02647749,0.001293196,208,1724,Problem Product
Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,2904.16,-170.84,17,0.2,-0.05882596,0.001264498,216,1764,Problem Product
Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,3420.77,-755.76,21,0.24,-0.220932714,0.001489434,180,1841,Problem Product
Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1646.92,-285.95,12,0.2475,-0.173627134,0.000717084,360,1794,Problem Product
Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,2946.36,-767.75,22,0.332,-0.260575761,0.001282872,211,1842,Problem Product
Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.97,-669.53,24,0.234,-0.04288843,0.006797159,14,1839,Problem Product
Furniture,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",2487.76,410.36,15,0.0375,0.164951603,0.001083193,255,216,Problem Product
Furniture,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,489.38,-70.83,4,0.16,-0.144734153,0.000213081,758,1716,Problem Product
Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",858.86,-9.95,17,0.245,-0.011585124,0.000373955,565,1620,Problem Product
Furniture,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",802.07,106.47,14,0.2,0.132744025,0.000349229,584,570,Problem Product
Furniture,Bookcases,Sauder Barrister Bookcases,754.73,-294.77,16,0.406666667,-0.390563513,0.000328616,602,1796,Problem Product
Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",1064.62,24.19,10,0.1,0.022721722,0.000463545,504,1156,Problem Product
Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",1909.82,-78.2,19,0.145714286,-0.040946267,0.000831553,319,1721,Problem Product
Furniture,Bookcases,Sauder Camden County Collection Library,1368.26,-103.49,16,0.235,-0.075636209,0.000595753,417,1732,Problem Product
Furniture,Bookcases,Sauder Cornerstone Collection Library,322.19,-81.17,14,0.233333333,-0.25193209,0.000140284,918,1726,Problem Product
Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",1427.69,-8.55,10,0.15,-0.005988695,0.000621629,400,1616.5,Problem Product
Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",1014.18,-418.55,10,0.283333333,-0.412697943,0.000441583,517,1813,Problem Product
Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",1875.04,-70.5,15,0.125,-0.037599198,0.00081641,326,1715,Problem Product
Furniture,Bookcases,Sauder Inglewood Library Bookcases,2154.35,311.18,14,0.13,0.144442639,0.000938024,289,273,Problem Product
Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",935.2,-125.74,10,0.263333333,-0.134452524,0.000407195,539,1747,Problem Product
Furniture,Chairs,Bevis Steel Folding Chairs,1775.08,117.07,24,0.216666667,0.065951957,0.000772886,335,537,Problem Product
Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,4619.99,486.15,37,0.190909091,0.1052275,0.002011586,118,179,Problem Product
Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",3955.67,573.72,32,0.155555556,0.145037377,0.001722335,156,137,Problem Product
Furniture,Chairs,"Global Armless Task Chair, Royal Blue",1396.44,-20.73,28,0.175,-0.014844891,0.000608023,408,1663,Problem Product
Furniture,Chairs,Global Chrome Stack Chair,815.86,15.09,32,0.266666667,0.01849582,0.000355233,580,1303,Problem Product
Furniture,Chairs,Global Comet Stacking Arm Chair,6084.14,697.13,17,0.16,0.114581519,0.00264909,79,117,Problem Product
Furniture,Chairs,Global Comet Stacking Armless Chair,3528.79,514.36,14,0.166666667,0.145761012,0.001536467,175,165,Problem Product
Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,7979.43,926.19,33,0.166666667,0.116072201,0.003474317,47,77,Problem Product
Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,4420.06,41.11,24,0.271428571,0.009300779,0.001924534,129,972,Problem Product
Furniture,Chairs,Global Deluxe High-Back Manager's Chair,8665.21,1558.59,35,0.1875,0.179867539,0.003772911,40,37,Problem Product
Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,1087.92,-149.6,10,0.2,-0.137510111,0.00047369,494,1758,Problem Product
Furniture,Chairs,Global Deluxe Office Fabric Chairs,1420.5,229.39,17,0.116666667,0.161485392,0.000618499,403,346,Problem Product
Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",764.69,76.97,19,0.214285714,0.100655167,0.000332953,595,684,Problem Product
Furniture,Chairs,Global Deluxe Steno Chair,1770.53,-216.29,29,0.21,-0.122161161,0.000770905,337,1781,Problem Product
Furniture,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2032.35,-460.67,10,0.25,-0.226668635,0.000884904,300,1821,Problem Product
Furniture,Chairs,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,207.18,25.9,1,0.2,0.125012067,9.02E-05,1079,1138,Problem Product
Furniture,Chairs,Global Ergonomic Managers Chair,6008.54,785.43,39,0.136363636,0.130718943,0.002616173,80,94,Problem Product
Furniture,Chairs,Global Executive Mid-Back Manager's Chair,4626.58,750.72,18,0.116666667,0.162262405,0.002014455,117,103,Problem Product
Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",3150.58,499.87,35,0.133333333,0.158659675,0.001371791,195,170,Problem Product
Furniture,Chairs,"Global Geo Office Task Chair, Gray",1757.26,-166.02,25,0.171428571,-0.094476628,0.000765127,340,1762,Problem Product
Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",5436.15,-474.74,54,0.185714286,-0.087330188,0.002366949,96,1825,Problem Product
Furniture,Chairs,Global Highback Leather Tilter in Burgundy,2647.82,49.13,34,0.144444444,0.018554887,0.001152885,237,884,Problem Product
Furniture,Chairs,Global Italian Leather Office Chair,969.25,204.33,8,0.15,0.210812484,0.00042202,528,369,Problem Product
Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",1689.97,-114.67,13,0.18,-0.067853276,0.000735828,352,1740,Problem Product
Furniture,Chairs,Global Leather Executive Chair,5861.53,701.99,21,0.185714286,0.119762246,0.002552164,86,114,Problem Product
Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5989.22,267.29,39,0.227272727,0.044628516,0.002607761,82,308,Problem Product
Furniture,Chairs,"Global Leather Task Chair, Black",1448.85,63.89,19,0.1375,0.044097042,0.000630843,393,757,Problem Product
Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",6410.87,854.78,26,0.175,0.133332917,0.002791351,74,86,Problem Product
Furniture,Chairs,Global Low Back Tilter Chair,1746.95,-246.38,21,0.1875,-0.141034374,0.000760638,341,1787,Problem Product
Furniture,Chairs,"Global Manager's Adjustable Task Chair, Storm",2959.21,493.7,23,0.116666667,0.166835067,0.001288467,209,176,Problem Product
Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",2185.96,283.74,44,0.2,0.129801094,0.000951787,284,292,Problem Product
Furniture,Chairs,"Global Stack Chair with Arms, Black",803.47,125.01,31,0.142857143,0.155587639,0.000349838,583,505,Problem Product
Furniture,Chairs,"Global Stack Chair without Arms, Black",901.51,44.17,44,0.171428571,0.048995574,0.000392526,549,932,Problem Product
Furniture,Chairs,Global Super Steno Chair,2389.9,-0.01,30,0.142857143,-4.18E-06,0.001040584,260,1563,Problem Product
Furniture,Chairs,"Global Task Chair, Black",463.1,-80.41,12,0.24,-0.173634204,0.000201638,790,1725,Problem Product
Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,12975.39,951.88,32,0.2,0.073360415,0.005649603,19,75,Problem Product
Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",1978.94,197.9,39,0.16,0.100003032,0.000861649,309,378,Problem Product
Furniture,Chairs,"Global Value Steno Chair, Gray",2204.85,246.01,43,0.16,0.111576751,0.000960012,281,326,Problem Product
Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",4166.89,-503.12,59,0.228571429,-0.120742328,0.001814302,145,1828,Problem Product
Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,9070.93,773.25,31,0.225,0.085244843,0.003949566,35,97,Problem Product
Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,21870.57,0,39,0.2,0,0.009522646,4,1552,High Sales But Low Profit
Furniture,Chairs,Harbour Creations 67200 Series Stacking Chairs,1501.9,254.84,24,0.1375,0.169678407,0.000653941,383,320,Problem Product
Furniture,Chairs,Harbour Creations Steel Folding Chair,2389.13,336.39,34,0.1625,0.140800208,0.001040249,261,254,Problem Product
Furniture,Chairs,High-Back Leather Manager's Chair,4770.65,-197.59,42,0.166666667,-0.041417836,0.002077185,115,1775,Problem Product
Furniture,Chairs,Hon 2090 Èà•Ê∑ßillow SoftÈà?Series Mid Back Swivel/Tilt Chairs,5282.42,-989.04,24,0.216666667,-0.187232367,0.002300014,102,1851,Problem Product
Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8431,1388.65,34,0.1875,0.164707627,0.003670934,41,44,Problem Product
Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,5906.03,1052.82,21,0.142857143,0.178261878,0.002571539,85,67,Problem Product
Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.38,833,24,0.133333333,0.109859965,0.003301437,52,91,Problem Product
Furniture,Chairs,Hon Comfortask Task/Swivel Chairs,1686.9,-36.47,18,0.15,-0.021619539,0.000734492,353,1681,Problem Product
Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,2586.19,-48.8,15,0.275,-0.018869457,0.001126051,245,1697,Problem Product
Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.53,1927.45,51,0.141666667,0.181193379,0.004631678,27,26,Problem Product
Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",1268.69,73.19,7,0.25,0.057689428,0.000552399,444,704,Problem Product
Furniture,Chairs,Hon Every-Day Chair Series Swivel Task Chairs,967.85,12.1,10,0.2,0.012501937,0.000421411,529,1362,Problem Product
Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,6748.48,281.97,43,0.16,0.041782742,0.00293835,67,293,Problem Product
Furniture,Chairs,Hon GuestStacker Chair,6936.11,1233.07,34,0.111111111,0.177775439,0.003020046,61,54,Problem Product
Furniture,Chairs,Hon Mobius Operator's Chair,2705.78,499.33,23,0.04,0.184541981,0.001178121,233,172,Problem Product
Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,6584.64,814.41,36,0.133333333,0.123683299,0.002867012,70,92,Problem Product
Furniture,Chairs,Hon Olson Stacker Chairs,5427.99,1292.12,22,0.075,0.238047601,0.002363396,97,49,Problem Product
Furniture,Chairs,Hon Olson Stacker Stools,5294.47,833.59,44,0.16,0.15744541,0.002305261,100,90,Problem Product
Furniture,Chairs,Hon Pagoda Stacking Chairs,6483.79,1540.7,22,0.1,0.237623365,0.002823101,73,38,Problem Product
Furniture,Chairs,Hon Valutask Swivel Chairs,1242.06,139.35,13,0.075,0.112192648,0.000540804,450,470,Problem Product
Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",1589.41,253.85,31,0.116666667,0.159713353,0.000692044,371,322,Problem Product
Furniture,Chairs,"Leather Task Chair, Black",1437.48,54.59,19,0.2,0.037976181,0.000625892,396,830,Problem Product
Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",5212.11,972.64,27,0.142857143,0.186611564,0.0022694,103,72,Problem Product
Furniture,Chairs,"Metal Folding Chairs, Beige, 4/Carton",685.59,115.73,23,0.12,0.168803512,0.000298512,632,540,Problem Product
Furniture,Chairs,Novimex Fabric Task Chair,1890.39,-131.13,39,0.188888889,-0.069366639,0.000823093,322,1753,Problem Product
Furniture,Chairs,Novimex High-Tech Fabric Mesh Task Chair,922.74,-133.44,16,0.15,-0.144612784,0.000401769,542,1755,Problem Product
Furniture,Chairs,Novimex Swivel Fabric Task Chair,2913.92,-445.39,25,0.2,-0.152849083,0.001268747,214,1816,Problem Product
Furniture,Chairs,Novimex Turbo Task Chair,1341.51,-32.66,22,0.133333333,-0.0243457,0.000584106,423,1679,Problem Product
Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3989.73,425.76,32,0.157142857,0.106713988,0.001737165,152,203,Problem Product
Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,1842.26,155.37,20,0.183333333,0.08433663,0.000802137,328,439,Problem Product
Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",694.2,-158.49,7,0.25,-0.228305964,0.000302261,628,1759,Problem Product
Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",3680.53,-491.17,35,0.188888889,-0.133450889,0.001602536,166,1827,Problem Product
Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,2207.96,231.65,13,0.1,0.10491585,0.000961366,280,341,Problem Product
Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,1311.88,-42.11,19,0.171428571,-0.032098972,0.000571205,433,1689,Problem Product
Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,2200.46,-130.98,20,0.142857143,-0.059523918,0.0009581,282,1752,Problem Product
Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,4185.49,342.88,31,0.16,0.081921113,0.001822401,142,247,Problem Product
Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5,1305.66,28,0.1,0.148801641,0.003820497,39,48,Problem Product
Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms,600.46,47.31,8,0.15,0.078789595,0.000261446,670,903,Problem Product
Furniture,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,1947.18,413.64,20,0.05,0.212430284,0.00084782,311,212,Problem Product
Furniture,Chairs,Office Star Flex Back Scooter Chair with White Frame,1775.67,-228.6,21,0.214285714,-0.128740138,0.000773143,334,1784,Problem Product
Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",1830.14,80.98,30,0.225,0.044247981,0.00079686,329,668,Problem Product
Furniture,Chairs,SAFCO Arco Folding Chair,11572.78,1179.37,53,0.2,0.101908962,0.005038894,21,56,Problem Product
Furniture,Chairs,SAFCO Folding Chair Trolley,705.32,151.33,6,0.166666667,0.214555096,0.000307103,621,447,Problem Product
Furniture,Chairs,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,245.09,14.91,12,0.2,0.060834795,0.000106714,1019,1312,Problem Product
Furniture,Chairs,"Safco Chair Connectors, 6/Carton",881.19,170.85,26,0.15,0.193885541,0.000383678,556,412,Problem Product
Furniture,Chairs,Safco Contoured Stacking Chairs,5697.76,870.16,27,0.125,0.152719665,0.002480857,90,85,Problem Product
Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",3641.26,234.24,64,0.18,0.06432938,0.001585438,168,339,Problem Product
Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,551.46,91.1,36,0.275,0.165197838,0.000240111,704,621,Problem Product
Furniture,Furnishings,24-Hour Round Wall Clock,487.51,180.02,27,0.066666667,0.36926422,0.000212266,761,398,Problem Product
Furniture,Furnishings,36X48 HARDFLOOR CHAIRMAT,369.25,-40.49,21,0.233333333,-0.109654705,0.000160775,868,1687,Problem Product
Furniture,Furnishings,3M Hangers With Command Adhesive,108.04,36,33,0.15,0.333209922,4.70E-05,1351,1024,Problem Product
Furniture,Furnishings,3M Polarizing Light Filter Sleeves,216.34,75.35,14,0.2,0.348294351,9.42E-05,1060,691.5,Problem Product
Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68,569.84,16,0,0.26000146,0.000954277,283,140,Problem Product
Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",124.59,26.22,19,0.2,0.210450277,5.42E-05,1293,1135.5,Problem Product
Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,455.07,183.14,34,0.05,0.40244358,0.000198142,798,393,Problem Product
Furniture,Furnishings,Acrylic Self-Standing Desk Frames,93.98,32.73,37,0.075,0.348265588,4.09E-05,1408,1058,Problem Product
Furniture,Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",822.74,311.78,28,0.04,0.378953254,0.000358228,579,271,Problem Product
Furniture,Furnishings,Advantus Panel Wall Acrylic Frame,87.52,25.15,20,0.2,0.287362888,3.81E-05,1447,1146,Problem Product
Furniture,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,270.84,108.1,23,0.066666667,0.399128637,0.000117926,975,565,Problem Product
Furniture,Furnishings,Aluminum Document Frame,244.4,56.22,22,0.08,0.230032733,0.000106414,1022,811,Problem Product
Furniture,Furnishings,Artistic Insta-Plaque,156.8,61.16,10,0,0.39005102,6.83E-05,1194,768,Problem Product
